pi,s,R,A,D,C,B,Phat,WI
0.600,0.250,0.034,0.100,0.000,0.000,-0.100,0.51001,0.00335
0.600,0.250,0.034,0.100,0.000,0.000,-0.095,0.51787,0.00583
0.600,0.250,0.034,0.100,0.000,0.000,-0.090,0.52619,0.00831
0.600,0.250,0.034,0.100,0.000,0.000,-0.085,0.53506,0.01079
0.600,0.250,0.034,0.100,0.000,0.000,-0.079,0.54459,0.01326
0.600,0.250,0.034,0.100,0.000,0.000,-0.074,0.55495,0.01574
0.600,0.250,0.034,0.100,0.000,0.000,-0.069,0.56640,0.01822
0.600,0.250,0.034,0.100,0.000,0.000,-0.064,0.57939,0.02070
0.600,0.250,0.034,0.100,0.000,0.000,-0.059,1.00000,0.02318
0.600,0.250,0.034,0.100,0.000,0.000,-0.054,0.61536,0.02565
0.600,0.250,0.034,0.100,0.000,0.000,-0.049,0.72015,0.02813
0.600,0.250,0.034,0.100,0.000,0.000,-0.044,1.00000,0.03061
0.600,0.250,0.034,0.100,0.000,0.000,-0.038,1.00000,0.03309
0.600,0.250,0.034,0.100,0.000,0.000,-0.033,1.00000,0.03557
0.600,0.250,0.034,0.100,0.000,0.000,-0.028,1.00000,0.03805
0.600,0.250,0.034,0.100,0.000,0.000,-0.023,1.00000,0.04052
0.600,0.250,0.034,0.100,0.000,0.000,-0.018,1.00000,0.04300
0.600,0.250,0.034,0.100,0.000,0.000,-0.013,1.00000,0.04548
0.600,0.250,0.034,0.100,0.000,0.000,-0.008,1.00000,0.04796
0.600,0.250,0.034,0.100,0.000,0.000,-0.003,1.00000,0.05044
0.600,0.250,0.034,0.100,0.000,0.000,0.003,1.00000,0.05291
0.600,0.250,0.034,0.100,0.000,0.000,0.008,1.00000,0.05539
0.600,0.250,0.034,0.100,0.000,0.000,0.013,1.00000,0.05787
0.600,0.250,0.034,0.100,0.000,0.000,0.018,1.00000,0.06035
0.600,0.250,0.034,0.100,0.000,0.000,0.023,1.00000,0.06283
0.600,0.250,0.034,0.100,0.000,0.000,0.028,1.00000,0.06531
0.600,0.250,0.034,0.100,0.000,0.000,0.033,1.00000,0.06778
0.600,0.250,0.034,0.100,0.000,0.000,0.038,1.00000,0.07026
0.600,0.250,0.034,0.100,0.000,0.000,0.044,1.00000,0.07274
0.600,0.250,0.034,0.100,0.000,0.000,0.049,1.00000,0.07522
0.600,0.250,0.034,0.100,0.000,0.000,0.054,1.00000,0.07770
0.600,0.250,0.034,0.100,0.000,0.000,0.059,1.00000,0.08017
0.600,0.250,0.034,0.100,0.000,0.000,0.064,1.00000,0.08265
0.600,0.250,0.034,0.100,0.000,0.000,0.069,1.00000,0.08513
0.600,0.250,0.034,0.100,0.000,0.000,0.074,1.00000,0.08761
0.600,0.250,0.034,0.100,0.000,0.000,0.079,1.00000,0.09009
0.600,0.250,0.034,0.100,0.000,0.000,0.085,1.00000,0.09257
0.600,0.250,0.034,0.100,0.000,0.000,0.090,1.00000,0.09504
0.600,0.250,0.034,0.100,0.000,0.000,0.095,1.00000,0.09752
0.600,0.250,0.034,0.100,0.000,0.000,0.100,1.00000,0.10000
0.600,0.250,0.034,0.100,0.000,0.005,-0.100,0.50246,0.00087
0.600,0.250,0.034,0.100,0.000,0.005,-0.095,0.50966,0.00335
0.600,0.250,0.034,0.100,0.000,0.005,-0.090,0.51721,0.00583
0.600,0.250,0.034,0.100,0.000,0.005,-0.085,0.52516,0.00831
0.600,0.250,0.034,0.100,0.000,0.005,-0.079,0.53356,0.01079
0.600,0.250,0.034,0.100,0.000,0.005,-0.074,0.54251,0.01326
